ratiocoverage,guard_number,map_type,map_size,map_density
0.0356,1,maze,10000,0
0.1001,2,maze,10000,0
0.1754,3,maze,10000,0
0.2541,4,maze,10000,0
0.3938,5,maze,10000,0
0.5073,6,maze,10000,0
0.6098,7,maze,10000,0
0.6974,8,maze,10000,0
0.8009,9,maze,10000,0
0.8546,10,maze,10000,0
0.0343,1,maze,10000,0
0.1055,2,maze,10000,0
0.2002,3,maze,10000,0
0.3117,4,maze,10000,0
0.436,5,maze,10000,0
0.5223,6,maze,10000,0
0.6199,7,maze,10000,0
0.7232,8,maze,10000,0
0.7761,9,maze,10000,0
0.8166,10,maze,10000,0
0.0226,1,maze,10000,0
0.0868,2,maze,10000,0
0.1679,3,maze,10000,0
0.2563,4,maze,10000,0
0.3918,5,maze,10000,0
0.5256,6,maze,10000,0
0.6191,7,maze,10000,0
0.7004,8,maze,10000,0
0.7686,9,maze,10000,0
0.8307,10,maze,10000,0
0.0328,1,maze,10000,0
0.104,2,maze,10000,0
0.193,3,maze,10000,0
0.2904,4,maze,10000,0
0.386,5,maze,10000,0
0.53,6,maze,10000,0
0.5773,7,maze,10000,0
0.6891,8,maze,10000,0
0.7689,9,maze,10000,0
0.8341,10,maze,10000,0
0.0356,1,maze,10000,0
0.1068,2,maze,10000,0
0.1756,3,maze,10000,0
0.2722,4,maze,10000,0
0.4181,5,maze,10000,0
0.4918,6,maze,10000,0
0.5732,7,maze,10000,0
0.702,8,maze,10000,0
0.7606,9,maze,10000,0
0.8635,10,maze,10000,0
0.0356,1,maze,10000,0
0.1068,2,maze,10000,0
0.208,3,maze,10000,0
0.278,4,maze,10000,0
0.3551,5,maze,10000,0
0.4199,6,maze,10000,0
0.521,7,maze,10000,0
0.6235,8,maze,10000,0
0.7155,9,maze,10000,0
0.7642,10,maze,10000,0
0.0356,1,maze,10000,0
